altitude,geo_altitude,height,horizontal_accuracy,location.lat,location.lon,pressure,speed_accuracy,time,velocity.x,velocity.y,velocity.z,vertical_accuracy
23.38,49.05555555555558,1.01,92.6,1.2789664268493652,103.85389709472656,1010.4454160714523,,2025-07-26T06:03:29.300000Z,1.0,-1.0,-1.0,45.0
23.38,49.39123867069488,1.01,92.6,1.2789651155471802,103.85389709472656,1010.4454160714523,,2025-07-26T06:03:29.500000Z,1.0,-0.8,-1.0,45.0
23.38,49.55908022826454,1.01,92.6,1.278963565826416,103.85389709472656,1010.4454160714523,,2025-07-26T06:03:29.800000Z,0.6000000000000001,-0.6000000000000001,-0.6000000000000001,45.0
23.38,49.894763343403845,1.01,92.6,1.278962254524231,103.85389709472656,1010.4454160714523,,2025-07-26T06:03:30Z,0.6000000000000001,-0.6000000000000001,-0.6000000000000001,45.0
23.38,50.39828801611281,1.01,92.6,1.278960943222046,103.85389709472656,1010.4454160714523,,2025-07-26T06:03:30.300000Z,0.6000000000000001,-0.6000000000000001,-0.6000000000000001,45.0
23.38,50.73397113125212,1.01,92.6,1.2789597511291504,103.85389709472656,1010.4454160714523,,2025-07-26T06:03:30.500000Z,0.6000000000000001,-0.6000000000000001,-0.6000000000000001,45.0
23.38,51.405337361530734,1.01,92.6,1.278959035873413,103.8539047241211,1010.4454160714523,,2025-07-26T06:03:30.800000Z,0.6000000000000001,-0.6000000000000001,-0.6000000000000001,45.0
23.38,51.405337361530734,1.01,92.6,1.2790508270263672,103.85386657714844,1010.4454160714523,,2025-07-26T06:03:32.800000Z,0.8,-0.4,-0.6000000000000001,45.0
23.38,49.55908022826454,1.01,92.6,1.2791099548339844,103.85384368896484,1010.4454160714523,,2025-07-26T06:03:33Z,0.8,-0.4,-0.6000000000000001,45.0
23.38,47.880664652568,1.01,92.6,1.2791504859924316,103.85379028320312,1010.4454160714523,,2025-07-26T06:03:33.300000Z,0.6000000000000001,-0.2,-0.6000000000000001,45.0
23.38,46.537932192010764,1.01,92.6,1.2791858911514282,103.853759765625,1010.4454160714523,,2025-07-26T06:03:33.500000Z,0.6000000000000001,-0.2,-0.6000000000000001,45.0
23.38,39.152903658945974,1.01,92.6,1.2792927026748657,103.85374450683594,1010.4454160714523,,2025-07-26T06:03:34.500000Z,0.8,-0.4,-0.8,45.0
23.38,38.64937898623701,1.01,92.6,1.2793067693710327,103.8537368774414,1010.4454160714523,,2025-07-26T06:03:34.800000Z,0.8,-0.4,-0.6000000000000001,45.0
23.38,37.47448808324943,1.01,92.6,1.2793253660202026,103.85372924804688,1010.4454160714523,,2025-07-26T06:03:35Z,0.8,-0.4,-0.6000000000000001,45.0
23.38,36.299597180261856,1.01,92.6,1.2793432474136353,103.85371398925781,1010.4454160714523,,2025-07-26T06:03:35.300000Z,0.8,-0.4,-0.8,45.0
23.38,35.79607250755289,1.01,92.6,1.2793554067611694,103.85369873046875,1010.4454160714523,,2025-07-26T06:03:35.500000Z,0.8,-0.4,-0.8,45.0
23.38,35.46038939241358,1.01,92.6,1.2793636322021484,103.85368347167969,1010.4454160714523,,2025-07-26T06:03:35.800000Z,0.8,-0.4,-0.8,45.0
23.26,35.12470627727428,0.89,92.6,1.2793712615966797,103.85366821289062,1010.4587666715618,,2025-07-26T06:03:36Z,0.8,-0.4,-0.6000000000000001,45.0
23.26,34.453340046995656,0.89,92.6,1.2793809175491333,103.8536605834961,1010.4587666715618,,2025-07-26T06:03:36.300000Z,0.8,-0.4,-0.6000000000000001,45.0
23.26,33.94981537428669,0.89,92.6,1.2793885469436646,103.85365295410156,1010.4587666715618,,2025-07-26T06:03:36.500000Z,0.8,-0.4,-0.6000000000000001,45.0
23.26,33.94981537428669,0.89,92.6,1.279393196105957,103.85364532470703,1010.4587666715618,,2025-07-26T06:03:36.800000Z,0.8,-0.4,-0.6000000000000001,45.0
23.26,33.94981537428669,0.89,92.6,1.2793972492218018,103.8536376953125,1010.4587666715618,,2025-07-26T06:03:37Z,0.6000000000000001,-0.2,-0.4,45.0
23.26,33.61413225914739,0.89,92.6,1.2794021368026733,103.85363006591797,1010.4587666715618,,2025-07-26T06:03:37.300000Z,0.4,-0.2,-0.4,45.0
23.26,34.11765693185635,0.89,92.6,1.2794240713119507,103.85365295410156,1010.4587666715618,,2025-07-26T06:03:37.500000Z,0.2,0.0,-0.2,45.0
23.26,34.285498489426004,0.89,92.6,1.2794257402420044,103.85364532470703,1010.4587666715618,,2025-07-26T06:03:37.800000Z,0.2,0.0,0.0,45.0
23.26,34.285498489426004,0.89,92.6,1.279429316520691,103.8536376953125,1010.4587666715618,,2025-07-26T06:03:38Z,0.2,0.0,-0.2,45.0
